name,level,prices,score,review,address,time,tel,X,Y
北京园博园,4A,18元,4.6,3208条点评,北京市丰台区射击场路15号,日场缆车运行时间：08:30—16:20,010-63915561,116.190595,39.876667
北京张裕爱婓堡国际酒庄,4A,78元,4.5,1399条点评,北京市密云区巨各庄镇东白岩（京承高速第十七出口左转300米即到）,夜场缆车运行时间：18:00—21:30,"010-89092099,010-89092999",116.902303,40.375747
朝阳公园,4A,0元,4.6,1110条点评,北京市朝阳区朝阳公园南路1号,4月1日-10月31日 06:00-22:00；11月1日-次年3月31日 06:00-21:00；9:00-15:30（方舟湖码头）,"010-65065409,010-65953490",116.482512,39.94407
地坛公园,4A,2元,4.5,911条点评,北京市东城区安定门外大街东侧,5月1日-10月31日 06:00-21:30；11月1日-次年4月30日 06:00-20:30,"010-84257506,010-64214657",116.415081,39.953922
凤凰岭自然风景区,4A,25元,4.6,1450条点评,北京市海淀区凤凰岭路19号,全年 07:00-17:00,"010-62459492,010-62455933",116.084981,40.106778
恭王府,5A,40元,4.6,15364条点评,北京市西城区前海西街17号,"1月1日-1月30日 周二至周日 08:30-17:00(最晚入园16:10) 周一 不开放；1月31日-2月1日 周一至周二 不开放；2月2日-2月6日 周三至周日 08:30-17:00(最晚入园16:10)；2月7日-12月31日 周二至周日 08:30-17:00(最晚入园16:10) 周一 不开放；清明节,劳动节,端午节,中秋节,国庆节 08:30-17:00(最晚入园16:10)；周一不开放如遇法定节假日以法定节假日为主",010-83288149,103.6075,31.0079
故宫博物院,5A,旺季：60元；淡季：40元,4.8,143462条点评,北京市东城区景山前街4号,"全年 周一 不开放；4月1日-10月31日 周二至周日 08:30-17:00(最晚入园16:10)；11月1日-次年3月31日 周二至周日 08:30-16:30(最晚入园15:40)；劳动节,清明节,端午节,国庆节,中秋节 08:30-17:00(最晚入园16:10)；法定节假日周一不闭馆；停止入园时间含钟表馆、珍宝馆","010-85007938,010-85007421,010-85007058",116.3972,39.9172
黑龙潭旅游区,4A,58元,4.5,691条点评,北京市密云区石城乡鹿皮关,"1月1日-3月15日 周二至周日 09:00-17:00(停止售票16:00,最晚入园16:00) 周一 不开放；12月10日-12月31日 周五至周日 09:00-17:00(停止售票15:00,最晚入园15:00) 周一至周四 不开放",010-61016289,116.776367,40.565101
红螺寺,4A,54元,4.7,1999条点评,北京市怀柔区怀柔镇卢庄村北红螺东路2号,全年 08:30-17:00(最晚入园16:00),"010-60681175,010-60681639,010-60682649",116.624756,40.384097
戒台寺,4A,45元,4.7,549条点评,北京市门头沟区永定镇戒台寺,1月1日-12月31日 08:30-17:00,"010-69805942,010-69806611",116.086534,39.87053
金海湖风景区,4A,40元,4.4,1606条点评,北京市平谷区金海湖镇海子村北,3月1日-11月15日 08:30-17:30(最晚入园17:30)；景区内船票的售票时间截止到16:30,"010-69991356,010-69993943",117.328526,40.167146
京东大峡谷旅游区,4A,75元,4.4,389条点评,北京市平谷区山东庄鱼子山村,全年 07:30-17:00,"010-60968317,010-60968260",117.170193,40.245919
京东石林峡风景区,4A,68元,4.5,2105条点评,北京市平谷区黄松峪乡雕窝村73号,全年 08:00-17:00(最晚入园15:30)；具体的营业时间视天气情况做调整,"010-60987678,010-60987922",117.24148,40.262227
景山公园,4A,2元,4.7,3898条点评,北京市西城区景山前街景山公园,4月-10月6:30-21:00，20:30停止售票；11月-次年3月6:30-20:00，19:30停止售票。,"010-64038098,010-64038090",116.396551,39.925875
居庸关长城,4A,旺季：45元；淡季：35元,4.7,1970条点评,北京市昌平区南口镇居庸关村,全年 08:30-16:30(最晚入园16:00),"010-69771665,010-69774474",116.073094,40.291154
孔庙/国子监,4A,30元,4.6,708条点评,北京市东城区安定门内国子监街15号,全年 周一 不开放；5月1日-10月31日 周二至周日 08:30-18:00(停止售票17:00)；劳动节 08:30-18:00(停止售票17:00),010-64075259,116.413283,39.946908
乐多港假日广场,4A,0元,4.3,1559条点评,北京市昌平区城南街道旧西路（西关环岛西2公里）,暂无数据?,010-57505288,116.190001,40.232805
龙脉温泉度假村,4A,168元,4.2,413条点评,北京市昌平区小汤山镇龙脉温泉度假村,全年全天开放?,"400-009-6120,010-88517186",116.398227,40.17892
龙庆峡旅游区,4A,100元,4.6,2092条点评,北京市延庆区旧县镇古城水库,"1月15日-1月30日 14:00-22:00(停止售票21:00,最晚入园21:30)；1月31日 14:00-20:00(停止售票18:30,最晚入园19:00)；2月1日-2月6日 10:00-22:00(停止售票21:00,最晚入园21:30)；2月7日-3月10日 14:00-22:00(停止售票21:00,最晚入园21:30)","010-69191020,010-69191034",116.003394,40.551886
龙潭公园,4A,2元,4.6,556条点评,北京市东城区龙潭路8号(近华普超市),全年 08:00-17:00,"010-67167319,010-67120046",116.438258,39.879792
绿野晴川野生动物园,4A,145元,4.7,22174条点评,北京市大兴区榆垡镇永定河畔的万亩林,全年 09:00-17:00；步行区售票时间 9：00-15：30,"010-89216666,010-89216606",116.334739,39.496599
明城墙遗址公园,4A,10元,暂无评分,暂无数据,北京市东城区崇文门东大街9号,自驾区售票时间 09:30-15:00,010-65270574,116.42793,39.901271
慕田峪长城,5A,40元,4.8,14374条点评,北京市怀柔区渤海镇慕田峪村,小火车运营时间10:00-15:00,"010-61626022,010-61626505",116.564568,40.428448
南宫旅游景区,4A,0元,4.6,1106条点评,北京市丰台区王佐镇南宫村,猛兽体验区运营时间10:00-16:00（每周一停运半天，下午13：00开始营业）,"010-83316030,010-83316278",116.152121,39.794553
青龙峡旅游度假区,4A,54元,4.6,658条点评,北京市怀柔区怀北镇大水峪村北500米,电瓶车运营时间9：00-16：30，停止售票时间15：30,"010-89696781,010-89696694",116.681168,40.46179
什刹海风景区,4A,0元,4.6,2134条点评,北京市西城区东起地安门外大街北侧、南至新街口北大街、西至新街口豁口、北至钟、鼓楼的区域,全年全天开放,"010-83222231,010-66125717",116.385307,39.941853
圣莲山旅游度假区,4A,60元,4.5,213条点评,北京市房山区西北史家营乡柳林水村,8:00-17:00（16：00停止入场）,暂无数据,115.730516,39.840518
十三陵,5A,135元,4.5,3656条点评,北京市昌平区十三陵镇昌赤路,全年 08:30-16:30(最晚入园16:30),"010-60761424,010-60761888,010-60763104",116.2235,40.323
石花洞,4A,70元,4.6,815条点评,北京市房山区河北镇南车营村,4月1日-10月15日 08:30-16:20；10月16日-次年3月31日 09:00-15:00(最晚入园15:00),"010-60312243,010-60312170",115.953977,39.797948
石景山游乐园,4A,10元,4.1,904条点评,北京市石景山区石景山路25号,全年 周二至周日 09:00-16:00；因游艺项目运营、演出活动受天气等多种因素影响，如遇极端天气或者其他特殊原因临时取消或者闭园，无法提前公示，请关注园内广播或致电客服电话88925159咨询。,"010-88925159,010-68862547",116.208645,39.911986
世界公园,4A,60元,4.4,4248条点评,北京市丰台区花乡丰葆路158号,全年 09:00-22:00(最晚入园20:30),010-83613561,116.287749,39.810591
世界花卉大观园,4A,50元,4.6,2587条点评,北京市丰台区南四环中路235号（右外草桥南四环路马家楼立交桥北侧）,4月8日-11月1日 08:00-18:00(最晚入园17:00)；11月2日-次年4月7日 08:00-17:00(最晚入园16:00),"010-87500840,010-87500721",116.351994,39.836173
世界葡萄博览中心景区,4A,20元,4,158条点评,北京市延庆区张山营镇下芦凤营村村南800米,09:00开放?,010-81186081,115.873176,40.465703
首都博物馆,4A,0元,4.7,1099条点评,北京市西城区复兴门外大街16号,全年 周二至周日 09:00-17:00(最晚入园15:00) 周一 不开放；中国法定节假日 09:00-17:00(最晚入园15:00),"010-63370491,010-63370492,010-63393339",116.342067,39.906412
司马台长城景区,4A,40元,4.6,1040条点评,北京市密云区古北口镇司马台村北,全年 09:00-17:00(最晚入园15:00),"010-81009999,010-81008010,010-81008009",117.287475,40.658241
松山森林旅游区,4A,50元,暂无评分,暂无数据,北京市延庆县松阎路,4月3日-10月：8:00-18:00,"010-69112020,010-69112634,010-69112634",115.772178,40.524109
潭柘寺,4A,50元,4.6,1241条点评,北京市门头沟区潭柘寺镇,8:30-16:30,"010-60862244,010-60862505",116.0306,39.903428
陶然亭公园,4A,2元,4.6,1155条点评,北京市西城区太平街19号（护城河北岸）,06:00开放,010-63511596,116.381915,39.874511
天坛公园,5A,旺季：15元；淡季：10元,4.6,11782条点评,北京市东城区天坛路甲1号,"4月1日-10月31日 06:00-22:00(停止售票20:00,最晚入园21:00)；11月1日-次年3月31日 06:30-22:00(停止售票20:00,最晚入园21:00)；联票售票时间：旺季8:00-16:00 淡季8:00-15:30","010-67012402,010-67013036,010-67029917",116.4106,39.8813
通州大运河森林旅游区,4A,0元,4.7,457条点评,北京市通州区宋梁路南段,全天开放?,010-61569200,116.744025,39.870122
温都水城,4A,168元,4.3,1244条点评,北京市昌平区北七家镇平西府街55号,全年 10:00-18:00,010-81789502,116.370825,40.103976
仙居谷风景区,4A,36元,4.4,47条点评,北京市密云区太师屯镇令公村松曹路,以景区为准,010-69035388,117.237931,40.588859
香山公园,4A,5元,4.6,5028条点评,北京市海淀区买卖街40号,4月1日-11月15日 06:00-18:30；11月16日-次年3月31日 06:00-18:00；景点开放时间详见景区公示,"010-62599886,010-62591222",116.188746,39.990107
小汤山现代农业示范园区,4A,30元,4.3,30条点评,北京市昌平区小汤山镇立汤路马坊,全年 8:30-17:00,010-61787260,116.433167,40.155185
蟹岛绿色生态农庄,4A,0元,4.6,9条点评,北京市蟹岛路1号,1月1日-12月31日 05:30-22:00,"010-84335566,010-84335588",116.546517,40.017434
延庆百里山水画廊景区,4A,0元,4.5,392条点评,北京市延庆区千家店镇内,全年 09:00-16:30；开放时间4月初-11月中旬，具体以景区公告为准（景区内各景点营业时间详见各景点信息）,010-60188022,116.31974,40.70053
雁栖湖旅游区,4A,20元,4.5,2644条点评,北京市怀柔区怀北镇雁水路3号,3月1日-11月14日 08:00-17:30；11月15日-次年2月28日 08:30-17:00(最晚入园16:00),"010-69661696,010-69661194",116.667865,40.391351
野鸭湖国家湿地公园,4A,50元,4.5,2233条点评,北京市延庆区康庄镇刘浩营村西,全年 09:00-16:00；9:00-16:00,"010-69131458,010-69131226",115.846995,40.413557
颐和园,5A,20元,4.7,39506条点评,北京市海淀区新建宫门路19号,4月1日-10月31日 06:00-20:00(最晚入园19:00)；11月1日-次年3月31日 06:30-19:00(最晚入园18:00)；佛香阁、德和园、文昌院、苏州街、益寿堂、霁清轩、南湖岛内院落、耕织图水操学堂景点逢周一关闭（法定节假日除外），园内各景点每日具体开放时间以景区现场为准。,"01062881144,010-62881144-6568",116.2719,39.9916
银山塔林风景区,4A,15元,4.5,202条点评,北京市昌平区兴寿镇西湖村开放时间今日已闭园；,全年 08:00-16:00,010-89726425,116.32747,40.320202
玉渊潭公园,4A,2元,4.6,1740条点评,北京市海淀区西三环中路10号,1月1日-5月31日 06:00-21:30(最晚入园21:00)；6月1日-8月31日 06:00-22:30(最晚入园21:30)；9月1日-12月31日 06:00-21:30(最晚入园21:00),"010-88653800,010-88653775,010-88653804",116.319932,39.91662
圆明园遗址公园,5A,10元,暂无评分,暂无数据,北京市海淀区清华西路28号,1月1日-3月15日 07:00-19:30(最晚入园17:30)；3月16日-4月30日 07:00-20:00(最晚入园18:00)；5月1日-8月31日 07:00-21:00(最晚入园19:00)；9月1日-10月15日 07:00-20:00(最晚入园18:00)；10月16日-12月31日 07:00-19:30(最晚入园17:30)；园中园最晚入园时间与大门票最晚入园时间相同（具体入园截止时间以产品信息披露为准）。,010-62628501,116.300442,40.009143
云居寺,4A,38元,4.6,286条点评,北京市大石窝镇水头村云居寺,全年 09:00-16:00(停止售票15:30),010 61389612,115.774477,39.609037
中国航空博物馆,4A,0元,暂无评分,暂无数据,北京市昌平区小汤山镇顺沙路,全文开放时间全年 周二至周日 08:30-16:30 周一 不开放；中国法定节假日 08:30-16:30,"010-66916919,010-61784882",116.365997,40.185401
中国人民抗日战争纪念馆,4A,0元,暂无评分,暂无数据,北京市丰台区卢沟桥宛平城内街101号,全年 周二至周日 09:00-16:30(停止售票16:00) 周一 不开放,"010-63777088,010-63777188",116.22592,39.851794
中国园林博物馆,4A,0元,4.8,250条点评,北京市丰台区射击场路15号,全年 周二至周日 09:00-18:00 周一 不开放,"010-63915017,010-63915025,010-63706746",116.177113,39.878994
中国紫檀博物馆,4A,0元,4.7,393条点评,北京市朝阳区建国路23号（地铁1号线四惠东站向东500米）,全年 08:30-22:00(最晚入园21:30)；夜场18:00-22:00,"010-85752818,8610-85752818",116.526044,39.910659
中山公园,4A,3元,4.7,927条点评,北京市东城区中华路4号(天安门西侧),4月1日-5月31日6:00-20:00（21:00静园）；6月1日-8月31日6:00-21:00（22:00静园）；9月1日-10月31日6:00-20:00（21:00静园）；1月1日-次年3月31日6:30-19:00（20:00静园）,010-66055431,116.394407,39.910707
中央广播电视塔,4A,80元,4.4,1743条点评,北京市海淀区西三环中路11号,08:30-22:00开放（21:30停止入园）,010-68450715,116.307016,39.918852
周口店遗址博物馆,4A,25元,暂无评分,暂无数据,北京市房山区周口店大街1号,"4月1日-10月10日 周二至周日 09:00-16:30(停止售票16:00,最晚入园16:00)；10月11日-次年3月31日 周二至周日 09:00-16:00(停止售票15:30,最晚入园15:30)","010-69301278,010-69301080",115.936776,39.687388
紫竹院公园,4A,0元,4.6,777条点评,北京市海淀区中关村南大街35号,全年 06:00-21:00；夏季6:00-21:00，静园时间22:00;冬季6:00-20:00，静园时间21:00,"010-68425851,010-88412801,010-88412894",116.319089,39.942349
史家胡同博物馆,非45A,0元,4.8,123条点评,北京市东城区东四街道东四南大街史家胡同24号,09:30开放?,"010-85175790,010-65251069",116.4290269,39.92445131
中国国家话剧院,非45A,0元,4.7,120条点评,北京市西城区广安门外大街277号,08:30-20:30开放?,"4006-101-101,010-83069696",116.342693,39.89628611
人民英雄纪念碑,非45A,0元,暂无评分,暂无数据,北京市东城区天安门广场中央,全天开放；如遇活动和庆典会提前清场。,010-63095745,116.4040257,39.91090608
西什库教堂（北堂）,非45A,0元,4.7,175条点评,北京市西城区西什库大街33号,"全年 周一至周六 08:00-11:00,14:00-17:00 周日 全天开放",010-66175198,116.385221,39.93132811
工人体育场,非45A,暂无数据,4.7,171条点评,北京市东城区工人体育场北路,具体开放时间请咨询景区,"010-65025505,010-65016655",116.453507,39.937061
宋庆龄故居,非45A,20元,暂无评分,暂无数据,北京市西城区后海北沿46号,全文开放时间全年 周一 不开放；4月1日-10月31日 周二至周日 09:00-17:30(最晚入园17:00)；11月1日-次年3月31日 周二至周日 09:00-16:30(最晚入园16:00)；周一闭馆（节假日除外）。,"讲解预约、团队活动：010-64015256,门票咨询：010-64044205转829,旅游咨询：010-64044205转815公告信息春节闭园通知",116.389485,39.951765
北京展览馆,非45A,0元,4.6,319条点评,北京市西城区西直门外大街135号,成就展8:30-18:00，17:00停止入场；展览不同时间不同，详情可电话咨询,010-57960055,116.3506679,39.9461192
老舍茶馆,非45A,暂无数据,4.6,972条点评,北京市西城区前门西大街正阳市场3号楼,全年 10:00-22:00；（具体演出时间参考各票种详情）,010-63036830,116.4189955,40.01239226
国家大剧院,非45A,0元,4.6,1805条点评,北京市西城区西长安街2号,全年 周二至周日 09:00-17:00(最晚入园16:30) 周一 不开放；中国法定节假日 09:00-17:00(最晚入园16:30),010-66550000,116.3962584,39.91122576
天安门城楼,非45A,15元,4.6,1592条点评,北京市东城区东长安街天安门广场北侧,全年（淡季） 08:30-15:30；全年（旺季） 08:30-16:30,010-63095630,116.39145,39.907325
坡峰岭,非45A,60元,4.6,1384条点评,北京市房山区周口店镇黄山店村境内西北3公里处,全年 08:00-17:00；红叶节期间开放时间：7:00-18:00,"010-89304901,15652000852",115.866702,39.694852
海棠花溪,非45A,0元,4.8,129条点评,北京市朝阳区北土城东路甲100号元大都遗址公园内(近樱花园西街),全年全天开放?,010-84645063,116.40534,39.982922
龙庆峡冰灯,非45A,100元,4.6,2124条点评,北京市延庆区旧县镇古城村北,"1月15日-1月30日 14:00-22:00(停止售票21:00,最晚入园21:30)；1月31日 14:00-20:00(停止售票18:30,最晚入园19:00)；2月1日-2月6日 10:00-22:00(停止售票21:00,最晚入园21:30)；2月7日-3月10日 14:00-22:00(停止售票21:00,最晚入园21:30)","010-69191020,010-69191034",116.3396371,39.93357049
雍和宫,非45A,25元,4.6,2256条点评,北京市东城区雍和宫大街12号,4月1日-10月31日 09:00-17:00(停止售票16:30)；11月1日-次年3月31日 09:00-16:30(停止售票16:00),"010-84191906,010-84191902,010-84191919,010-64044499",116.4236325,39.95363795
升旗仪式,非45A,0元,暂无评分,暂无数据,北京市天安门广场南端,具体开放时间请咨询景区,暂无数据,116.40392,39.913275
古北水镇,非45A,140元,4.6,10446条点评,北京市密云区古北口镇司马台村古北水镇,全年 09:00-23:00(最晚入园22:00)；10.1-10.7日 夜游长城检票时间为17：30-21:40  游船检票时间：8:00-22:30  水镇+长城+单索/双索；长城+单索/双索 索道下站时间：8:00-16:30,暂无数据,115.844312,39.709338
中国美术馆,非45A,0元,4.7,626条点评,北京市东城区五四大街一号,全年 周二至周日 09:00-17:00 周一 不开放；中国法定节假日 09:00-17:00,010-64001476,116.4154486,39.93147313
蓝色港湾,非45A,0元,4.8,227条点评,北京市朝阳区朝阳公园路6号,平日全天开放，商场9:00-22:00,"010-59056611,010-59056582,010-59056586,010-59056663",116.5358244,40.39802202
中国地质博物馆,非45A,15元,4.7,679条点评,北京市西城区西四羊肉胡同15号,全年 周二至周日 09:00-16:30(最晚入园16:00) 周一 不开放；开放时间：9:00-16:30（16:00停止售票）；周一闭馆,010-66557858,116.3786534,39.92951783
北京西山国家森林公园,非45A,10元,4.7,1351条点评,北京市海淀区闵庄路与香山南路交叉口西行100米,1月1日-12月31日 08:00-17:00,010-62720251,116.086286,40.0615841
南山滑雪场,非45A,325元,4.7,1437条点评,北京市密云区河南寨镇圣水头村,"12月1日-次年2月28日 09:00-17:00,18:30-21:30；2021年11月27日-2021年12月3日",010-89091909,113.9275188,22.5308361
北京杜莎夫人蜡像馆,非45A,150元,4.7,3673条点评,北京市东城区前门大街18号,全年 周一至周五 10:00-18:00(最晚入园17:00) 周六至周日 10:00-21:00(最晚入园20:00),010-67060936,116.4046682,39.90365789
中国科学技术馆,非45A,30元,4.7,4515条点评,北京市朝阳区北辰东路5号,全年 周二至周日 09:30-17:00(最晚入园16:30) 周一 不开放；中国法定节假日 09:30-17:00(最晚入园16:30)；星期一（国家法定节假日除外）闭馆、除夕、初一、初二不开放,010-59041000,116.3323289,39.98621644
天安门广场,非45A,0元,暂无评分,暂无数据,北京市东城区长安街（天安门和正阳门之间）,全年 5:00-22:00,暂无数据,116.4041774,39.90965197
角楼,非45A,0元,4.8,376条点评,北京市东城区故宫博物院内,具体开放时间请咨询景区,"010-85007421,010-85007938",116.080869,40.29514606
故宫珍宝馆,非45A,60元,4.8,438条点评,北京市故宫博物院宁寿宫内,"4月1日-10月31日 周二至周日 08:30-17:00(停止售票16:00,最晚入园16:10) 周一 不开放；11月1日-次年3月31日 周二至周日 08:30-16:30(停止售票15:30,最晚入园15:40) 周一 不开放",暂无数据,116.4034139,39.92409137
三里河公园,非45A,0元,4.9,149条点评,北京市东城区南芦草园胡同与群智胡同交叉口东50米,全年全天开放?,暂无数据,120.0414337,36.26635709
国家图书馆,非45A,0元,4.8,472条点评,北京市海淀区中关村南大街33号,全年 周二至周日 09:00-17:00,"010-88545360,010-88545426,1088545426",116.3917069,39.92968852
观复博物馆,非45A,88元,4.8,1165条点评,北京市朝阳区大山子张万坟金南路18号,"全年 周一 09:00-16:00(停止售票15:00,最晚入园15:00) 周二至周日 09:00-17:00(停止售票16:00,最晚入园16:00)",010-64338887,116.5403966,40.01330925
中国国家博物馆,非45A,0元,暂无评分,暂无数据,北京市东城区东长安街16号天安门广场东侧,全年 周二至周日 09:00-17:00(最晚入园16:00) 周一 不开放；周一闭馆（法定节假日除外）,暂无数据,116.4080163,39.91146021
北京曲水兰亭水疗,非45A,1098元,4.9,194条点评,北京市朝阳区通惠河畔文化产业园1070号,全年全天开放,"010-56228777,010-87796666,010-87796677",116.454461,39.95161208
,,,,,,,,,
